     241 00100011   0.2743  -0.0020   0.2510   0.0000   117   134    16    20   19.8   22.5    4.1    6.0    97    97    50    36
     242 00100011   0.2807   0.0046   0.0646   0.0000   143   138    15    16   21.5   22.8    3.5    4.1    97    95    60    36
     243 00100011   0.2731   0.0004   0.0687   0.0000   117   135    16    20   19.8   22.6    4.1    6.0    95    96    59    37
     244 00100011   0.2715   0.0093   0.1047   0.0000   127   155    17    28   20.5   23.8    4.6    8.9    96    95    39    39
     245 00100011   0.2763   0.0149   0.4074   0.0000   112   116    15    19   19.4   21.3    3.5    5.6    95    96    48     8
     246 00100011   0.2757   0.0277   0.0635   0.0000   138   156    16    17   21.2   23.9    4.1    4.6    97    97    72    50
     247 00100011   0.2800   0.0293  -0.1347   0.0000   109   116    14    15   19.2   21.3    2.9    3.5    96    96    50    22
     248 00100011   0.2656   0.0317   0.0055   0.0000   106   121    12    17   18.9   21.7    1.6    4.6    95    95    49    30
     249 00100011   0.2796   0.0293   0.2364   0.0000    97    89    12    16   18.2   19.0    1.6    4.1    96    93    36    23
     250 00100011   0.2942   0.0143   0.2524   0.0000   115   117    17    21   19.6   21.4    4.6    6.4    95    94    58    42
     251 00100011   0.2858   0.0022  -0.1272   0.0000    84   125    13    14   16.9   21.9    2.3    2.9    94    95    46    23
     252 00100011   0.2913   0.0063  -0.0738   0.0000   126   126    15    15   20.4   22.0    3.5    3.5    96    96    51    29
     253 00100011   0.2955   0.0155   0.2141   0.0000    54    34    11    14   13.1   10.6    0.8    2.9    95    80    59    54
     254 00100011   0.2830  -0.0116  -0.0323   0.0000    69   115    13    18   15.2   21.2    2.3    5.1    90    95    54    46
     255 00100011   0.2721  -0.0212  -0.0610   0.0000   138   142    14    15   21.2   23.0    2.9    3.5    94    94    50    28
     256 00100011   0.2712  -0.0396  -0.0224   0.0000   155   157    15    18   22.2   23.9    3.5    5.1    96    97    33    61
     257 00100011   0.2907  -0.0322  -0.0270   0.0000    87   109    15    16   17.2   20.7    3.5    4.1    89    95    16    42
     258 00100011   0.2849  -0.0258   0.0096   0.0000   124   134    15    18   20.3   22.5    3.5    5.1    97    97    61    35
     259 00100011   0.2908  -0.0146   0.1071   0.0000   156   146    16    17   22.3   23.3    4.1    4.6    98    94    21    33
     260 00100011   0.2823  -0.0128  -0.0802   0.0000   124   134    15    16   20.3   22.5    3.5    4.1    96    97    60    45
     261 00100011   0.2828  -0.0119   0.0411   0.0000   108   127    14    15   19.1   22.1    2.9    3.5    97    97    34    30
     262 00100011   0.2794  -0.0051  -0.0427   0.0000   147   158    16    17   21.8   24.0    4.1    4.6    97    97    48    29
     263 00100011   0.2801  -0.0002   0.1923   0.0000    93   116    12    15   17.8   21.3    1.6    3.5    94    96    26    33
     264 00100011   0.2725   0.0089   0.1285   0.0000   104   111    15    18   18.8   20.9    3.5    5.1    95    96    62    48
     265 00100011   0.2731   0.0124   0.0844   0.0000   156   165    16    34   22.3   24.3    4.1   10.6    96    97    58    53
     266 00100011   0.2794   0.0155   0.3476   0.0000    99    89    13    16   18.3   19.0    2.3    4.1    96    91    40    47
     267 00100011   0.2736   0.0047   0.0046   0.0000    67   102    11    13   14.9   20.2    0.8    2.3    90    94    45    35
