       1 01000011   0.2780   0.0200  -0.0180   0.0000   101    80    74    76   18.5   18.1   17.4   16.8    97    93    96    90
       2 01000011   0.2980   0.0110   0.0000   0.0000    94   120   103   101   17.9   21.6   20.3   19.3    95    97    97    95
       3 01000011   0.3120   0.0210   0.0340   0.0000    95    96    84    72   18.0   19.6   18.5   16.3    97    93    97    84
       4 01000011   0.2940   0.0110  -0.0030   0.0000    94   146    97   104   17.9   23.3   19.7   19.5    96    98    95    94
       5 01000011   0.2940   0.0080   0.0050   0.0000   107   105    77    75   19.0   20.4   17.7   16.7    97    96    95    82
       6 01000011   0.2930   0.0020  -0.0090   0.0000   138   152   123   115   21.2   23.6   21.8   20.4    98    98    97    96
       7 01000011   0.2950  -0.0090   0.0020   0.0000   133   125   124    99   20.9   21.9   21.9   19.1    97    95    98    96
       8 01000011   0.2890  -0.0010   0.0320   0.0000   110   128    95    88   19.2   22.1   19.6   18.1    97    97    93    90
       9 01000011   0.3040  -0.0060   0.0340   0.0000    79    96    67    81   16.4   19.6   16.5   17.3    95    94    90    86
      10 01000011   0.2970  -0.0130  -0.0210   0.0000   101   134   115   118   18.5   22.5   21.2   20.6    95    98    94    96
      11 01000011   0.2710  -0.0050   0.0080   0.0000    66    60    58    50   14.8   15.6   15.3   13.2    93    93    83    87
      12 01000011   0.2910  -0.0110  -0.0060   0.0000   100   132    98   100   18.4   22.4   19.8   19.2    95    97    93    96
      13 01000011   0.2910  -0.0060  -0.0120   0.0000   143   144   118   111   21.5   23.2   21.4   20.1    98    97    96    91
      14 01000011   0.2870   0.0000  -0.0120   0.0000   134   142   120   107   21.0   23.0   21.6   19.8    97    97    97    96
      15 01000011   0.2810   0.0020  -0.0210   0.0000   119   134   110   110   19.9   22.5   20.8   20.0    97    97    97    96
      16 01000011   0.2830   0.0090  -0.0090   0.0000   116   103   110    84   19.7   20.3   20.8   17.7    98    97    99    92
      17 01000011   0.2920   0.0120   0.0050   0.0000    92   135    76    99   17.7   22.6   17.6   19.1    96    98    89    94
      18 01000011   0.3050   0.0100   0.0200   0.0000   123   127   110    88   20.2   22.1   20.8   18.1    97    96    98    90
      19 01000011   0.3030   0.0110  -0.0030   0.0000   136   112   127    91   21.1   21.0   22.1   18.4    98    94    98    86
